"1","UserNormal","usernormal@lexcorp.com","$2y$10$Ovpai4bdY4lx8KfQxPOOZumavqIUmy2bKPK2UGxh5MFcHSdLbe7K2","1998-12-12","Female","../public/ressources/users_image/1-profile-picture.jpg","1","2024-04-07 08:56:16","2024-04-07 08:56:16",NULL,"userNormal-661243901ed240.37843644"
"2","UserArtist","userArtist@lexcorp.com","$2y$10$VT1Cn5/e32PT9bPfwLrJyuSXOK1NQbl5N/4t9J4xVLZfOcfy2brtu","1998-12-12","Male","../public/ressources/users_image/2-profile-picture.jpg","2","2024-04-07 11:00:13","2024-04-07 11:00:13",NULL,"UserArtist-6612609db3c742.79016389"
"3","UserAdmin","UserAdmin@lexcorp.com","$2y$10$bcIMJFQXCXu7N3.hIdLwZeQjYKp7Kj/uqHA6COdTWLSA0khX7cKz6","1998-12-12","Male","..\public\ressources\Spotify_Images/Spotify_Image_2.jpeg","9","2024-04-07 12:23:10","2024-04-07 12:23:10",NULL,"UserAdmin-6612740e9637c9.52725191"
"4","G-Eazy","G-Eazy@spotify.com","$2y$10$ZjPMOy1PXH/X5m27RVawgeMLKgAtjvJ7WGp7LSd7sNzbrYMB.hrqe","1970-10-07","Male","https://i.scdn.co/image/ab67616d0000b273046527a9c176f7c2916f3530","2","2024-04-17 18:27:14","2024-04-17 18:27:14",NULL,NULL
"5","Various Artists","Various_Artists@spotify.com","$2y$10$WIusbI.1OZcHOI4/zUsD.uHx6YG4ZJxNg59HSFK2qzF2RPtFSKvH.","1970-10-07","Male","https://i.scdn.co/image/ab67616d0000b273a91a5b301baac1f46e6f30eb","2","2024-04-17 18:27:14","2024-04-17 18:27:14",NULL,NULL
"6","Lorage","Lorage@spotify.com","$2y$10$zXpcwue57fybVFVNAOV5ROGERHXwKbuLazTfyA3G2njE6ZxRWszhK","1970-10-07","Male","https://i.scdn.co/image/ab67616d0000b273159b16e27173692e104ec9e0","2","2024-04-17 18:27:15","2024-04-17 18:27:15",NULL,NULL
"7","League of Legends","League_of_Legends@spotify.com","$2y$10$RHO/m3JqaGHtpyrNCtlGPOznh0Si7uv/nELKK5yQTeUud0Iq/5Jf6","1970-10-07","Male","https://i.scdn.co/image/ab67616d0000b2730dc777f04e02631c126e16e0","2","2024-04-17 18:27:15","2024-04-17 18:27:15",NULL,NULL
"8","Nathan Dawe","Nathan_Dawe@spotify.com","$2y$10$LEUyRImtlBBYFEtGuVG7J.ag8JeXTgj3L/CJxzUrApyD7lBJp6X8q","1970-10-07","Male","https://i.scdn.co/image/ab67616d0000b273073e961f1b5e6efc91fa568a","2","2024-04-17 18:27:15","2024-04-17 18:27:15",NULL,NULL
"9","Lomepal","Lomepal@spotify.com","$2y$10$pl6CkEGt0helm3uCFn8naOHHlCDLGyOy8vZDI5Vya5mdm7abHNh2.","1970-10-07","Male","https://i.scdn.co/image/ab67616d0000b273f3b4ab85fc00ae35007eb7d0","2","2024-04-17 18:27:16","2024-04-17 18:27:16",NULL,NULL
"10","SAYGRACE","SAYGRACE@spotify.com","$2y$10$l2a09jXWutateJ8sOl9sEe.LOcWRM/aFYW8jM3GRWoTfJSaZUb6Ui","1970-10-07","Male","https://i.scdn.co/image/ab67616d0000b273f86b51c51b4457cbb66bb282","2","2024-04-17 18:27:16","2024-04-17 18:27:16",NULL,NULL
